09,03,2023

1,1958,12,2024,

185.2,
199.0,200.9,201.3,196.8,191.3,186.7,185.2,184.9,183.8,182.2,180.7,180.5,
178.6,176.9,174.5,169.2,165.1,161.4,155.8,151.3,146.3,141.1,137.1,132.5,
128.9,125.0,121.6,119.6,117.0,113.9,108.6,102.4, 97.9, 93.3, 87.9, 83.7,
 80.2, 74.8, 68.8, 64.3, 60.1, 55.8, 53.1, 52.5, 52.3, 51.4, 50.5, 48.7,
 45.2, 41.8, 39.8, 39.4, 39.2, 38.3, 36.8, 34.9, 32.7, 30.8, 30.0, 29.8,
 29.4, 29.8, 29.7, 29.0, 28.7, 28.2, 27.7, 27.2, 26.9, 26.0, 23.8, 21.3,
 19.5, 17.8, 15.4, 12.7, 10.8, 10.2, 10.3, 10.2,  9.9,  9.6, 10.1, 11.0,
 11.7, 12.0, 12.5, 13.6, 14.5, 15.0, 15.5, 16.4, 17.4, 19.7, 22.3, 24.5,
 27.7, 31.3, 34.5, 37.4, 40.7, 44.6, 50.3, 56.6, 63.1, 67.6, 70.2, 72.7,
 75.0, 78.8, 82.2, 84.6, 87.5, 91.3, 94.1, 95.3, 95.3, 95.0, 97.1,100.6,
102.6,102.9,104.7,107.2,107.6,106.6,105.2,104.8,107.0,109.9,110.6,110.1,
110.0,109.6,108.0,106.4,106.2,106.1,105.9,106.5,105.4,104.1,104.6,104.9,
105.6,106.0,106.2,106.1,105.8,105.3,103.8,101.0, 97.2, 93.9, 89.4, 84.1,
 80.4, 77.8, 74.4, 70.9, 68.1, 66.7, 65.4, 64.6, 65.8, 66.2, 66.8, 69.4,
 70.8, 71.2, 72.4, 73.4, 72.9, 70.5, 68.2, 65.5, 62.2, 60.6, 58.7, 55.1,
 50.9, 46.5, 44.2, 42.7, 40.7, 39.1, 37.5, 36.1, 34.4, 32.6, 31.8, 31.5,
 32.7, 34.4, 34.0, 33.9, 34.6, 34.5, 34.0, 33.1, 32.1, 30.2, 27.5, 25.2,
 23.0, 22.1, 21.2, 18.6, 16.7, 16.0, 15.0, 14.3, 14.4, 15.4, 16.1, 16.3,
 15.2, 13.2, 12.2, 12.6, 12.5, 12.2, 12.9, 14.0, 14.3, 13.5, 13.5, 14.8,
 16.7, 18.1, 20.0, 22.2, 24.2, 26.3, 29.0, 33.4, 39.1, 45.6, 51.9, 56.9,
 61.3, 64.5, 69.6, 76.9, 83.2, 89.3, 97.4,104.0,108.4,111.1,113.3,117.7,
123.7,130.9,136.5,141.1,147.2,153.0,155.0,155.4,155.7,157.8,162.3,164.5,
163.9,162.6,160.9,158.7,156.3,154.7,152.7,150.3,150.1,150.2,147.7,142.7,
140.3,141.5,143.0,143.4,142.9,141.5,140.3,141.1,142.8,142.2,138.8,137.8,
137.0,133.3,129.2,124.3,119.9,117.3,115.2,109.4,101.1, 95.7, 94.7, 94.6,
 92.8, 90.3, 85.9, 81.4, 77.1, 70.5, 65.4, 65.7, 67.9, 68.1, 66.7, 63.9,
 60.1, 56.4, 53.0, 49.7, 47.5, 46.5, 44.2, 39.6, 33.9, 28.9, 24.7, 21.7,
 20.5, 19.6, 18.5, 18.3, 18.3, 18.0, 17.4, 17.1, 17.3, 17.3, 16.8, 15.3,
 13.8, 13.1, 13.0, 13.7, 14.3, 13.8, 13.7, 13.2, 12.3, 13.2, 14.9, 16.3,
 17.6, 19.6, 22.1, 24.4, 26.5, 28.4, 31.2, 34.8, 39.0, 43.5, 46.7, 51.3,
