09,03,2023 

1,1948,12,2024

 1988   56.9, 62.7, 68.8, 74.4, 80.1, 89.0, 98.7,107.2,114.0,117.7,122.2,128.7,
 1989  132.7,135.4,139.7,143.1,146.2,147.6,147.6,146.9,145.9,146.7,146.8,143.2,
 1990  140.6,142.7,141.9,139.4,137.3,134.4,131.5,131.4,132.9,132.9,132.5,134.5,
 1991  137.9,137.9,137.0,136.9,136.0,135.7,136.7,137.0,135.4,132.5,129.3,123.5,
 1992  116.2,108.7,102.2, 97.7, 95.0, 92.1, 86.3, 80.3, 76.2, 73.4, 71.6, 70.5,
 1993   68.9, 66.9, 64.5, 61.8, 58.4, 55.0, 53.7, 51.5, 48.0, 44.8, 41.5, 39.0,
 1994   37.3, 35.7, 35.1, 34.7, 33.6, 32.1, 24.1, 23.4, 22.0, 19.1, 17.7, 17.0,
 1995   17.0, 15.6, 15.6, 17.0, 16.3, 15.6, 14.9, 14.2, 12.1, 10.6,  9.2,  9.2,
 1996    9.2,  9.2,  8.5,  9.2,  9.2,  8.5,  8.5,  8.5,  8.5,  8.5,  8.5,  8.5,
 1997    9.2,  9.2, 10.6, 12.8, 14.9, 17.0, 18.4, 19.1, 21.3, 23.4, 24.8, 27.0,
 1998   29.8, 32.6, 36.2, 39.7, 44.7, 47.5, 49.6, 52.5, 55.3, 56.7, 58.2, 61.0,
 1999   64.5, 66.7, 68.1, 73.0, 76.6, 78.7, 80.1, 83.7, 90.8, 94.3, 95.7, 98.6,
 2000  100.7,100.7,100.0,105.0,111.3,112.1,111.3,112.8,112.8,107.8,102.8,102.1,
 2001  101.4, 99.3,100.0,104.3,109.2,109.9,114.2,118.4,118.4,117.0,115.6,115.6,
 2002  113.5,114.2,117.0,118.4,117.0,115.6,111.3,104.3, 96.5, 87.9, 81.6, 78.0,
 2003   76.6, 75.2, 71.6, 68.8, 66.0, 62.4, 57.4, 55.3, 52.5, 48.2, 44.7, 44.0,
 2004   43.3, 42.6, 41.1, 41.1, 40.4, 39.0, 37.6, 36.9, 35.5, 32.6, 30.5, 29.8,
 2005   29.8, 29.1, 28.4, 28.4, 27.0, 25.5, 23.4, 22.7, 20.6, 19.1, 18.4, 17.0,
 2006   16.3, 15.6, 14.9, 13.5, 14.2, 14.2, 13.5, 13.5, 12.8, 12.1, 10.6,  9.9,
 2007    9.2,  9.2,  9.2,  9.2,  8.5,  7.8,  7.1,  7.1,  6.4,  5.7,  5.0,  4.3,
 2008    3.5,  3.5,  2.8,  2.8,  3.5,  3.5,  3.5,  2.8,  2.8,  1.4,   .7,   .7,
 2009     .7,   .7,  1.4,  2.1,  2.8,  2.8,  3.5,  5.0,  7.1,  7.8,  7.8,  8.5,
 2010    8.5,  9.2, 10.6, 12.8, 14.9, 16.3, 16.3, 17.0, 18.4, 21.3, 22.0, 23.4,
 2011   25.5, 26.2, 27.7, 31.9, 39.7, 44.7, 47.5, 50.4, 51.1, 50.4, 48.9, 50.4,
 2012   53.2, 55.3, 57.4, 58.9, 58.9, 55.3, 53.9, 52.5, 51.8, 51.1, 51.8, 52.5,
 2013   51.8, 53.2, 52.5, 52.5, 53.9, 56.7, 58.2, 61.7, 67.4, 68.8, 67.4, 66.0,
 2014   66.7, 65.2, 65.2, 70.9, 75.9, 78.0, 76.6, 78.0, 75.2, 70.2, 66.7, 66.0,
 2015   67.4, 64.5, 63.1, 60.3, 58.9, 56.0, 53.2, 51.8, 47.5, 41.8, 36.2, 33.3,
 2016   31.2, 29.1, 29.1, 29.8, 27.7, 25.5, 23.4, 21.3, 18.4, 16.3, 14.9, 14.2,
 2017   12.8, 12.1, 12.1, 12.1, 12.1, 11.3, 10.6,  9.9,  8.5,  7.8,  7.1,  7.1,
 2018    7.1,  6.4,  5.7,  5.0,  4.3,  3.5,  2.8,  2.8,  2.1,  1.4,   .7,   .7,
 2019     .7,   .0,   .0,   .0,   .7,   .7,   .7,   .7,   .7,   .7,   .0,   .0,
 2020     .0,   .0,   .7,  1.4,  2.8,  3.5,  4.3,  5.0,  5.7,  5.7,  5.0,  5.7,
 2021    7.1,  7.8,  8.5, 10.6, 12.8, 13.5, 14.2, 17.0, 19.9, 23.4, 27.7, 29.8,
 2022   31.9, 32.6, 34.8, 39.0, 43.3, 48.2, 52.5, 58.9, 64.7, 66.7, 70.7, 72.6,
 2023   76.6, 78.5, 82.4, 84.3, 88.1, 89.9, 93.4, 95.1, 98.4,100.0,103.0,104.4,
 2024  107.2,108.4,110.7,111.8,113.8,114.7,116.2,116.9,118.0,118.5,119.2,119.4,
